gender,age,ethnic,education,Q5,AI_Support,AI_Trust,AI_Understanding,FOMO,AI_Benefit,AI_Efficiency,AI_Optimism,AI_Risk,Transparency_Importance,AI_Dependency,income,Party_ID,Ideology,religious,Q23,State,Respondent Group,Party_Label,State_Name,State_Color,Democrat,Republican,Independent
2,3,3,2,1,2,5,4,2,2,1,3,1,3,1,5,2,7,3,2,43,"Scenario #3, Treatment",Republican,Texas,Other,0,1,0
1,3,4,3,1,5,5,5,3,4,4,5,3,5,5,4,1,4,1,2,20,"Scenario #3, Treatment",Democrat,Maryland,Blue,1,0,0
1,3,6,2,1,4,3,1,4,5,2,4,3,5,2,2,1,6,2,2,22,"Scenario #1, Treatment",Democrat,Michigan,Swing,1,0,0
2,5,6,4,1,2,2,4,3,3,1,3,1,3,3,3,2,4,2,2,6,"Scenario #5, Treatment",Republican,Colorado,Other,0,1,0
2,3,3,5,1,3,5,3,3,4,4,5,4,2,3,4,1,4,2,2,49,"Scenario #4, Treatment",Democrat,Wisconsin,Swing,1,0,0
2,3,6,2,1,3,2,2,4,4,1,3,5,2,3,3,3,4,2,2,49,"Scenario #5, Treatment",Independent,Wisconsin,Swing,0,0,1
2,6,6,5,1,4,4,4,4,4,4,5,2,4,4,6,3,7,1,2,43,Control Scenario,Independent,Texas,Other,0,0,1
2,2,6,3,1,4,3,3,4,4,3,4,2,4,4,2,2,4,3,2,25,"Scenario #5, Treatment",Republican,Missouri,Red,0,1,0
1,2,6,5,1,5,5,5,5,5,5,5,1,5,5,2,2,1,1,1,38,"Scenario #6, Treatment",Republican,Pennsylvania,Swing,0,1,0
2,2,6,4,1,4,2,4,2,2,4,2,2,3,4,3,2,2,5,2,22,"Scenario #4, Treatment",Republican,Michigan,Swing,0,1,0
2,3,3,5,1,1,1,1,1,3,3,1,5,3,1,1,3,7,3,2,22,"Scenario #6, Treatment",Independent,Michigan,Swing,0,0,1
2,5,6,2,1,4,5,4,4,5,5,5,2,5,5,4,3,5,9,2,25,"Scenario #6, Treatment",Independent,Missouri,Red,0,0,1
1,3,3,4,1,4,4,4,4,4,3,4,3,3,4,3,3,4,2,2,42,"Scenario #1, Treatment",Independent,Tennessee,Red,0,0,1
2,3,4,3,1,5,4,5,4,5,2,5,4,5,5,3,2,3,2,2,43,"Scenario #4, Treatment",Republican,Texas,Other,0,1,0
1,2,3,5,1,4,5,3,4,3,4,5,3,2,4,4,1,4,10,2,13,"Scenario #3, Treatment",Democrat,Illinois,Blue,1,0,0
2,3,6,1,1,3,3,3,3,3,3,3,3,3,3,4,3,7,3,2,37,"Scenario #2, Treatment",Independent,Oregon,Blue,0,0,1
1,2,6,2,1,4,5,4,4,3,4,3,2,4,4,5,2,5,9,2,30,"Scenario #3, Treatment",Republican,New Jersey,Blue,0,1,0
2,3,4,5,1,4,4,4,3,3,4,3,1,4,5,4,5,4,1,2,14,"Scenario #3, Treatment",Other,Indiana,Other,0,0,0
2,2,6,2,1,2,2,5,3,5,5,5,3,4,4,3,3,7,9,2,32,"Scenario #6, Treatment",Independent,New York,Blue,0,0,1
2,7,6,5,1,1,1,2,3,2,4,2,1,5,4,6,3,7,1,2,9,"Scenario #4, Treatment",Independent,Florida,Other,0,0,1
1,4,4,4,1,5,5,5,5,5,5,5,1,5,5,4,3,7,9,2,9,Control Scenario,Independent,Florida,Other,0,0,1
2,4,6,5,1,2,2,2,1,2,2,3,2,4,2,1,2,6,1,2,46,"Scenario #2, Treatment",Republican,Virginia,Other,0,1,0
1,3,3,3,1,4,4,4,3,3,4,4,1,4,5,5,1,2,9,2,33,"Scenario #5, Treatment",Democrat,North Carolina,Swing,1,0,0
1,4,6,5,1,5,5,5,5,5,5,5,1,5,5,6,1,1,2,1,32,"Scenario #3, Treatment",Democrat,New York,Blue,1,0,0
2,2,3,3,1,3,4,2,4,4,4,5,1,5,5,2,2,4,3,2,43,"Scenario #2, Treatment",Republican,Texas,Other,0,1,0
2,4,4,2,1,2,1,5,1,4,4,4,5,4,1,1,2,1,9,2,9,"Scenario #2, Treatment",Republican,Florida,Other,0,1,0
2,5,6,2,1,3,3,2,1,2,2,2,3,2,2,2,2,4,2,2,22,Control Scenario,Republican,Michigan,Swing,0,1,0
1,6,2,5,1,2,2,3,4,4,2,4,2,3,3,3,2,4,2,2,5,"Scenario #2, Treatment",Republican,California,Blue,0,1,0
1,4,6,5,1,5,5,5,5,5,5,5,1,5,5,5,1,1,2,1,32,Control Scenario,Democrat,New York,Blue,1,0,0
2,2,4,3,1,3,2,4,2,3,3,4,2,2,4,3,1,3,9,2,5,"Scenario #3, Treatment",Democrat,California,Blue,1,0,0
1,3,6,2,1,3,3,1,4,2,2,2,5,4,4,1,2,1,9,2,6,"Scenario #4, Treatment",Republican,Colorado,Other,0,1,0
2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,4,10,2,1,Control Scenario,Democrat,Alabama,Red,1,0,0
2,2,3,3,1,5,5,5,5,5,5,5,1,5,5,1,3,4,1,1,33,"Scenario #1, Treatment",Independent,North Carolina,Swing,0,0,1
2,2,6,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,40,"Scenario #1, Treatment",Independent,South Carolina,Red,0,0,1
2,2,3,1,1,5,4,5,5,4,3,4,1,4,5,1,2,6,9,2,46,"Scenario #2, Treatment",Republican,Virginia,Other,0,1,0
2,5,6,3,1,5,5,5,5,5,5,5,1,5,5,1,1,7,1,2,38,"Scenario #6, Treatment",Democrat,Pennsylvania,Swing,1,0,0
1,2,6,2,1,4,4,4,4,4,5,4,3,5,4,3,3,4,2,2,35,"Scenario #6, Treatment",Independent,Ohio,Other,0,0,1
2,3,6,3,1,5,5,5,5,4,4,5,2,5,4,3,2,1,2,2,30,"Scenario #6, Treatment",Republican,New Jersey,Blue,0,1,0
2,4,6,5,1,3,4,4,4,4,3,3,2,4,4,3,3,4,3,2,30,"Scenario #5, Treatment",Independent,New Jersey,Blue,0,0,1
1,2,4,2,1,5,3,5,5,3,2,1,1,3,3,4,2,8,4,2,23,"Scenario #1, Treatment",Republican,Minnesota,Other,0,1,0
1,3,6,2,1,4,4,4,4,4,3,4,2,4,3,4,2,7,10,2,22,"Scenario #4, Treatment",Republican,Michigan,Swing,0,1,0
1,2,6,5,1,4,4,5,2,4,4,5,2,5,4,6,2,6,1,2,5,Control Scenario,Republican,California,Blue,0,1,0
2,4,6,6,1,5,5,5,5,5,4,5,3,4,4,5,1,1,2,2,5,"Scenario #2, Treatment",Democrat,California,Blue,1,0,0
2,6,3,3,1,4,4,4,3,4,4,4,2,4,4,1,1,4,10,2,13,"Scenario #2, Treatment",Democrat,Illinois,Blue,1,0,0
1,4,6,5,1,5,5,5,5,4,5,5,1,5,5,6,1,1,2,2,32,"Scenario #3, Treatment",Democrat,New York,Blue,1,0,0
2,4,6,2,1,2,2,4,2,3,3,3,2,3,3,1,2,1,9,2,22,"Scenario #2, Treatment",Republican,Michigan,Swing,0,1,0
1,4,1,3,1,4,4,4,4,3,5,4,2,5,5,4,3,7,6,2,20,Control Scenario,Independent,Maryland,Blue,0,0,1
1,3,3,4,1,4,4,4,2,4,2,4,1,3,3,3,1,2,9,2,24,"Scenario #4, Treatment",Democrat,Mississippi,Red,1,0,0
1,5,6,6,1,2,2,4,2,4,4,4,4,3,4,6,3,6,8,2,31,"Scenario #1, Treatment",Independent,New Mexico,Other,0,0,1
2,2,3,5,1,3,4,3,4,3,4,3,2,3,4,6,2,4,1,2,5,Control Scenario,Republican,California,Blue,0,1,0
1,2,3,1,1,4,3,3,3,3,3,4,2,3,4,3,3,3,1,2,10,"Scenario #5, Treatment",Independent,Georgia,Swing,0,0,1
2,2,3,2,1,4,4,4,4,4,4,4,2,5,4,3,2,2,2,1,44,"Scenario #1, Treatment",Republican,Utah,Red,0,1,0
1,4,6,5,1,5,4,2,5,4,5,5,4,5,5,5,1,1,3,1,9,"Scenario #2, Treatment",Democrat,Florida,Other,1,0,0
2,6,6,2,1,5,5,3,5,5,4,5,1,5,5,5,3,6,10,2,7,Control Scenario,Independent,Connecticut,Blue,0,0,1
2,2,6,2,1,3,3,3,3,3,3,3,3,3,3,4,1,4,10,2,10,"Scenario #2, Treatment",Democrat,Georgia,Swing,1,0,0
1,2,4,3,1,2,2,2,3,4,4,2,3,4,2,3,3,2,9,2,43,"Scenario #3, Treatment",Independent,Texas,Other,0,0,1
2,4,6,3,1,4,4,5,4,5,4,4,2,3,3,2,2,4,3,2,42,"Scenario #5, Treatment",Republican,Tennessee,Red,0,1,0
2,2,3,2,1,3,3,3,3,3,4,3,3,4,4,5,4,4,3,2,9,"Scenario #2, Treatment",Other,Florida,Other,0,0,0
2,7,6,4,1,4,4,4,4,4,4,4,2,4,4,2,2,4,2,2,27,"Scenario #5, Treatment",Republican,Nebraska,Red,0,1,0
1,4,6,5,1,4,4,4,3,4,4,3,2,4,4,6,2,8,10,1,5,"Scenario #3, Treatment",Republican,California,Blue,0,1,0
1,3,6,5,1,3,3,2,4,3,4,4,2,5,3,4,2,3,9,2,38,Control Scenario,Republican,Pennsylvania,Swing,0,1,0
2,3,2,5,1,2,2,2,2,3,3,4,3,5,4,1,1,2,9,2,5,"Scenario #6, Treatment",Democrat,California,Blue,1,0,0
2,2,3,5,1,4,3,4,5,3,4,4,4,3,2,3,2,4,9,2,49,"Scenario #6, Treatment",Republican,Wisconsin,Swing,0,1,0
2,4,6,5,1,3,3,4,3,3,2,3,2,3,4,4,4,4,9,2,9,"Scenario #5, Treatment",Other,Florida,Other,0,0,0
2,4,2,6,1,3,3,3,3,3,3,3,3,3,3,5,2,4,10,2,5,"Scenario #1, Treatment",Republican,California,Blue,0,1,0
1,4,6,6,1,5,5,5,5,5,5,5,1,5,5,6,1,1,2,1,47,"Scenario #6, Treatment",Democrat,Washington,Blue,1,0,0
1,6,6,6,1,3,3,4,2,4,4,4,2,4,4,6,3,7,2,1,46,"Scenario #1, Treatment",Independent,Virginia,Other,0,0,1
1,2,6,6,1,5,5,4,2,4,4,5,4,5,4,6,3,7,2,2,49,Control Scenario,Independent,Wisconsin,Swing,0,0,1
1,4,6,6,1,5,4,5,5,5,5,5,1,5,5,6,1,1,2,1,43,"Scenario #1, Treatment",Democrat,Texas,Other,1,0,0
2,3,6,6,1,4,5,4,5,5,4,5,2,4,5,6,1,7,5,2,32,"Scenario #2, Treatment",Democrat,New York,Blue,1,0,0
2,4,6,6,1,4,3,2,2,4,4,4,3,3,2,5,3,5,1,2,33,"Scenario #3, Treatment",Independent,North Carolina,Swing,0,0,1
1,3,6,6,1,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,32,"Scenario #3, Treatment",Democrat,New York,Blue,1,0,0
1,3,6,6,1,5,5,5,5,5,5,5,1,5,5,6,1,7,1,2,7,"Scenario #2, Treatment",Democrat,Connecticut,Blue,1,0,0
2,3,6,6,1,2,2,1,2,3,4,3,4,4,4,4,3,5,2,2,3,Control Scenario,Independent,Arizona,Swing,0,0,1
2,3,6,6,1,5,4,5,5,4,4,5,1,4,5,5,1,2,8,2,1,"Scenario #5, Treatment",Democrat,Alabama,Red,1,0,0
1,3,6,6,1,5,5,5,5,5,5,5,1,5,5,6,1,1,2,1,32,Control Scenario,Democrat,New York,Blue,1,0,0
2,3,2,6,1,5,5,5,4,5,4,3,4,4,4,5,1,1,7,2,10,"Scenario #2, Treatment",Democrat,Georgia,Swing,1,0,0
1,4,6,6,1,5,4,5,4,5,4,5,2,5,4,5,1,2,5,2,10,"Scenario #6, Treatment",Democrat,Georgia,Swing,1,0,0
2,3,3,6,1,4,4,4,4,4,4,4,2,4,3,2,1,2,3,2,18,"Scenario #5, Treatment",Democrat,Louisiana,Red,1,0,0
1,4,6,6,1,4,5,4,4,4,5,5,2,4,5,6,1,7,2,1,32,"Scenario #3, Treatment",Democrat,New York,Blue,1,0,0
2,4,4,6,1,4,2,4,2,4,2,3,4,2,4,5,2,4,2,2,11,"Scenario #4, Treatment",Republican,Hawaii,Blue,0,1,0
1,3,6,6,1,5,5,5,5,5,5,5,1,5,5,6,1,7,5,1,5,"Scenario #6, Treatment",Democrat,California,Blue,1,0,0
1,3,6,6,1,5,4,5,3,4,5,4,1,4,5,6,1,7,3,2,27,"Scenario #2, Treatment",Democrat,Nebraska,Red,1,0,0
1,4,6,6,1,4,5,4,4,4,4,3,3,4,4,6,1,4,5,2,3,"Scenario #4, Treatment",Democrat,Arizona,Swing,1,0,0
1,4,6,6,1,4,4,4,3,4,4,3,2,4,4,6,1,4,5,2,32,"Scenario #4, Treatment",Democrat,New York,Blue,1,0,0
1,3,6,6,1,5,4,5,5,4,5,4,1,4,5,6,3,1,5,2,9,"Scenario #5, Treatment",Independent,Florida,Other,0,0,1
1,3,6,6,1,5,5,5,5,5,5,5,1,5,5,6,1,1,1,1,32,"Scenario #1, Treatment",Democrat,New York,Blue,1,0,0
1,7,6,6,1,3,3,2,2,4,2,3,3,4,4,5,3,6,2,2,7,"Scenario #2, Treatment",Independent,Connecticut,Blue,0,0,1
1,6,6,6,1,5,4,4,4,4,5,4,1,5,5,6,2,2,3,2,21,"Scenario #2, Treatment",Republican,Massachusetts,Blue,0,1,0
1,3,6,6,1,5,5,4,5,5,5,5,2,5,5,6,1,1,1,1,47,"Scenario #6, Treatment",Democrat,Washington,Blue,1,0,0
1,4,6,6,1,5,4,5,4,4,3,5,1,2,5,6,3,7,8,2,9,"Scenario #3, Treatment",Independent,Florida,Other,0,0,1
2,4,4,6,1,5,4,3,5,4,5,4,1,4,5,3,3,1,2,2,20,Control Scenario,Independent,Maryland,Blue,0,0,1
1,5,3,6,1,4,4,4,4,4,4,4,2,4,4,3,1,7,8,1,23,"Scenario #4, Treatment",Democrat,Minnesota,Other,1,0,0
1,3,6,6,1,5,5,4,4,5,5,5,2,5,5,6,1,6,5,2,32,"Scenario #1, Treatment",Democrat,New York,Blue,1,0,0
2,6,3,6,1,5,5,4,5,5,5,5,1,5,5,5,2,2,1,1,20,Control Scenario,Republican,Maryland,Blue,0,1,0
1,3,6,6,1,4,5,4,4,5,4,5,1,4,4,6,1,7,2,2,32,"Scenario #5, Treatment",Democrat,New York,Blue,1,0,0
2,5,6,6,1,4,3,4,3,3,2,4,2,3,4,5,2,4,1,2,32,"Scenario #1, Treatment",Republican,New York,Blue,0,1,0
1,3,6,6,1,4,5,5,3,3,5,5,2,5,4,6,2,7,2,2,32,"Scenario #3, Treatment",Republican,New York,Blue,0,1,0
2,5,6,6,1,4,3,2,3,4,4,4,4,4,3,6,2,1,9,2,43,Control Scenario,Republican,Texas,Other,0,1,0
2,5,6,6,1,5,4,4,5,4,5,5,2,5,5,6,1,1,2,1,9,"Scenario #2, Treatment",Democrat,Florida,Other,1,0,0
2,7,6,6,1,4,4,3,3,4,4,4,3,4,4,4,1,2,2,2,35,"Scenario #3, Treatment",Democrat,Ohio,Other,1,0,0
2,7,6,6,1,3,3,2,3,4,4,4,3,3,4,3,1,4,9,2,8,"Scenario #6, Treatment",Democrat,Delaware,Blue,1,0,0
1,4,6,6,1,4,4,5,4,4,4,4,2,4,4,6,1,4,1,2,47,"Scenario #5, Treatment",Democrat,Washington,Blue,1,0,0
1,7,6,6,1,4,4,4,2,4,3,4,1,4,5,5,2,4,1,1,5,"Scenario #6, Treatment",Republican,California,Blue,0,1,0
2,7,6,6,1,3,3,2,1,3,3,3,3,3,4,6,3,7,2,2,21,"Scenario #5, Treatment",Independent,Massachusetts,Blue,0,0,1
1,7,6,6,1,2,2,5,2,3,2,3,2,2,3,3,3,6,1,1,25,"Scenario #1, Treatment",Independent,Missouri,Red,0,0,1
1,3,6,6,1,5,5,3,5,3,3,3,4,2,3,4,2,3,2,2,7,"Scenario #2, Treatment",Republican,Connecticut,Blue,0,1,0
2,3,6,6,1,3,4,5,5,5,5,4,3,4,3,3,3,4,1,2,14,Control Scenario,Independent,Indiana,Other,0,0,1
1,3,6,6,1,3,3,4,3,5,4,4,2,4,5,3,4,3,6,2,34,"Scenario #4, Treatment",Other,North Dakota,Red,0,0,0
1,2,6,6,1,4,4,5,5,5,5,5,2,4,5,2,2,2,1,2,12,"Scenario #5, Treatment",Republican,Idaho,Red,0,1,0
2,3,2,6,1,1,1,4,4,4,4,4,4,4,4,6,1,2,8,2,32,"Scenario #6, Treatment",Democrat,New York,Blue,1,0,0
2,5,6,3,1,4,4,4,4,4,5,4,2,4,4,3,3,3,2,1,43,"Scenario #3, Treatment",Independent,Texas,Other,0,0,1
2,4,2,1,1,5,5,5,5,5,5,5,1,5,5,3,1,4,2,2,38,"Scenario #4, Treatment",Democrat,Pennsylvania,Swing,1,0,0
2,3,6,2,1,3,3,5,3,3,3,3,3,3,3,3,3,4,3,2,22,"Scenario #2, Treatment",Independent,Michigan,Swing,0,0,1
2,3,3,3,1,5,2,5,5,5,5,5,1,5,5,5,2,7,1,2,43,"Scenario #2, Treatment",Republican,Texas,Other,0,1,0
